Date,X,GE,APPL,GOOG,F,
6/15/18,35.99,13.30,188.84,1152.26,11.72,
6/18/18,36.06,13.20,188.74,1173.46,11.82,
6/19/18,35.09,12.95,185.69,1168.06,11.73,
6/20/18,35.67,12.88,186.50,1169.84,11.71,
6/21/18,35.34,12.76,185.46,1157.66,11.55,
6/22/18,36.85,13.05,184.92,1155.48,11.49,
6/25/18,34.46,12.75,182.17,1124.81,11.34,
6/26/18,35.27,13.74,184.43,1118.46,11.36,
6/27/18,34.41,13.96,184.16,1103.98,11.26,
6/28/18,34.59,13.83,185.50,1114.22,11.12,
6/29/18,34.69,13.61,185.11,1115.65,10.92,
7/2/18,35.07,13.37,187.18,1127.46,10.95,
7/3/18,33.88,13.37,183.92,1102.89,10.84,
7/5/18,34.92,13.43,185.40,1124.27,10.90,
7/6/18,35.28,13.85,187.97,1140.17,10.91,
7/9/18,35.47,13.95,190.58,1154.05,11.04,
7/10/18,36.47,14.17,190.35,1152.84,11.09,
7/11/18,36.22,13.99,187.88,1153.90,10.92,
7/12/18,35.88,13.99,191.03,1183.48,10.90,
7/13/18,36.15,13.89,191.33,1188.82,10.83,
7/16/18,35.87,13.90,190.91,1183.86,10.70,
7/17/18,36.35,13.69,191.45,1198.80,10.71,
7/18/18,37.71,13.75,190.40,1195.88,10.72,
7/19/18,36.87,13.73,191.88,1186.96,10.67,
7/20/18,37.07,13.12,191.44,1184.91,10.56,
7/23/18,37.38,12.99,191.61,1205.50,10.47,
7/24/18,37.81,13.12,193.00,1248.08,10.57,
7/25/18,38.20,13.11,194.82,1263.70,10.52,
7/26/18,37.18,13.15,194.21,1268.33,9.89,
7/27/18,36.94,13.06,190.98,1238.50,9.93,
7/30/18,36.75,13.16,189.91,1219.74,10.07,
7/31/18,36.37,13.63,190.29,1217.26,10.04,
8/1/18,35.75,13.24,201.50,1220.01,9.90,
8/2/18,32.08,13.17,207.39,1226.15,9.92,
8/3/18,32.25,13.14,207.99,1223.71,10.04,
8/6/18,31.44,13.10,209.07,1224.77,10.03,
8/7/18,31.18,13.16,207.11,1242.22,10.08,
8/8/18,30.77,13.05,207.25,1245.61,10.05,
